id,item_name,uses_ammo,damage,knockback,consumable,critical_chance,use_time,velocity,tooltip,max_stack,rarity,buy,sell,research
50,Pearlwood_Sword,,11 ,5.0,0,0.04,21 ,0.0,,1,White,-1,20,1
51,Classy_Cane,,16 ,3.5,0,0.04,15 ,0.0,,1,Green,-1,50,1
52,Slap_Hand,,35 ,20.0,0,0.19,21 ,0.0,,1,Light Red,25,5,1,True
53,Cobalt_Sword,,39 ,3.85,0,0.04,23 ,0.0,,1,Light Red,-1,1,1,True
54,Palladium_Sword,,45 ,4.75,0,0.04,25 ,0.0,,1,Light Red,-1,1,1,True
55,Phasesaber,,42 ,3.0,0,0.04,20 ,0.0,,1,Light Red,-1,1,1,True
56,Ice_Sickle,,42 ,5.5,0,0.04,25 ,8,Shoots an icy sickle,1,Pink,-1,5,1
57,Brand_of_the_Inferno,,85 ,6.5,0,0.04,20 ,0.0,Right click to guard with a shield,1,Pink,-1,1,1,True
58,Mythril_Sword,,49 ,6.0,0,0.04,26 ,0.0,,1,Light Red,-1,2,1,True
59,Orichalcum_Sword,,50 ,6.0,0,0.04,25 ,0.0,,1,Light Red,-1,2,1,True
60,Breaker_Blade,,43 ,8.0,0,0.04,29 ,0.0,Deals more damage to unhurt enemies,1,Light Red,-1,3,1
61,Cutlass,,49 ,4.0,0,0.04,18 ,0.0,,1,Light Red,-1,3,1,True
62,Frostbrand,,49 ,4.5,0,0.04,23 ,12,Shoots an icy bolt,1,Pink,-1,5,1,True
63,Adamantite_Sword,,56 ,6.0,0,0.04,26 ,0.0,,1,Light Red,-1,2,1,True
64,Beam_Sword,,52 ,6.5,0,0.04,20 ,11,Shoots a beam of light,1,Light Red,-1,3,1
65,Titanium_Sword,,58 ,6.0,0,0.04,25 ,0.0,,1,Light Red,-1,3,1,True
66,Fetid_Baghnakhs,,60 ,6.0,0,0.04,8 ,0.0,,1,Pink,-1,8,1,True
67,Bladetongue,,55 ,5.75,0,0.04,28 ,0.0,Spits an Ichor stream on contact,1,Pink,-1,4,1,True
68,Tizona,,55 ,5.0,0,0.04,25 ,0.0,Has a chance to cause Bleeding,1,Pink,-1,6,-1,True
69,Excalibur,,66 ,4.5,0,0.04,20 ,0.0,,1,Pink,-1,4,1,True
70,True_Excalibur,,70 ,4.5,0,0.04,16 ,11,,1,Yellow,-1,10,1,True
71,Chlorophyte_Saber,,57 ,4.0,0,0.04,16 ,8,Shoots a spore cloud,1,Lime,-1,5,1,True
72,Death_Sickle,,57 ,7.0,0,0.04,25 ,9,Shoots a deathly sickle,1,Light Purple,-1,7,1,True
73,Psycho_Knife,,85 ,3.5,0,0.04,8 ,0.0,Allows you to go into stealth mode,1,Yellow,-1,10,1,True
74,Keybrand,,85 ,6.5,0,0.17,20 ,0.0,Deals more damage to injured foes,1,Yellow,-1,4,1,True
75,Chlorophyte_Claymore,,95 ,6.0,0,0.04,26 ,8,Shoots a powerful orb,1,Lime,-1,5,1
76,The_Horseman%27s_Blade,,75 ,7.5,0,0.04,26 ,0.0,Summons Pumpkin heads to attack your enemies,1,Yellow,-1,10,1,True
77,Christmas_Tree_Sword,,86 ,7.0,0,0.04,23 ,5,Shoots Christmas ornaments,1,Yellow,-1,10,1,True
78,True_Night%27s_Edge,,105 ,4.75,0,0.04,26 ,10,,1,Yellow,-1,10,1,True
79,Seedler,,50 ,6.0,0,0.04,23 ,12,,1,Pink,-1,10,1,True
80,Flying_Dragon,,180 ,5.5,0,0.04,25 ,17,Unleashes the heart's energy forward,1,Yellow,-1,5,1,True
81,Starlight,,80 ,4.0,0,0.14,18 ,15,,1,Yellow,-1,5,1,True
82,Terra_Blade,,115 ,6.5,0,0.04,14 ,12,,1,Yellow,-1,20,1,True
83,Influx_Waver,,110 ,4.5,0,0.04,20 ,11,,1,Yellow,-1,10,1,True
84,Star_Wrath,,110 ,6.5,0,0.04,16 ,16,Causes stars to rain from the sky,1,Cyan,-1,20,1,True
85,Meowmere,,200 ,6.5,0,0.04,16 ,12,,1,Red,-1,20,1,True
86,Wooden_Yoyo,,9 ,2.5,0,0.04,25 ,16,,1,White,-1,1,1
87,Rally,,14 ,3.5,0,0.04,25 ,16,,1,Blue,-1,50,1
88,Malaise,,16 ,4.5,0,0.04,25 ,16,,1,Blue,-1,1,1
89,Artery,,17 ,4.0,0,0.04,25 ,16,,1,Blue,-1,1,1
90,Amazon,,18 ,3.75,0,0.04,25 ,16,,1,Orange,-1,1,1
91,Code_1,,21 ,3.25,0,0.04,25 ,16,,1,Green,5,1,1
92,Valor,,22 ,3.85,0,0.04,25 ,16,,1,Orange,-1,1,1
93,Cascade,,27 ,4.3,0,0.04,25 ,16,,1,Orange,-1,1,1
94,Format:C,,39 ,3.25,0,0.04,25 ,16,,1,Orange,20,4,1
95,Gradient,,49 ,3.8,0,0.04,25 ,16,,1,Orange,20,4,1
96,Chik,,39 ,3.3,0,0.04,25 ,16,,1,Light Red,-1,4,1
97,Hel-Fire,,41 ,4.5,0,0.04,25 ,16,,1,Light Red,-1,4,1
98,Amarok,,43 ,2.8,0,0.04,25 ,16,,1,Light Red,-1,4,1
99,Code_2,,54 ,3.8,0,0.04,25 ,16,,1,Pink,25,5,1
100,Yelets,,60 ,3.1,0,0.04,25 ,16,,1,Lime,-1,5,1
101,Red%27s_Throw,,70 ,4.5,0,0.04,25 ,16,'Great for impersonating devs!',1,Cyan,-1,4,1
102,Valkyrie_Yoyo,,70 ,4.5,0,0.04,25 ,16,'Great for impersonating devs!',1,Cyan,-1,4,1
103,Kraken,,95 ,4.3,0,0.14,25 ,16,,1,Yellow,-1,11,1
104,The_Eye_of_Cthulhu,,115 ,3.5,0,0.04,25 ,16,,1,Yellow,-1,12,1
105,Terrarian,,190 ,6.5,0,0.14,25 ,16,,1,Red,-1,10,1
106,Spear,,8 ,6.5,0,0.04,31 ,3.7,,1,White,-1,2,1
107,Trident,,14 ,6.0,0,0.04,31 ,4,Increases mobility in water when held,1,Blue,-1,20,1
108,Storm_Spear,,12 ,6.0,0,0.04,28 ,3.5,,1,Blue,-1,30,1
109,The_Rotted_Fork,,14 ,5.0,0,0.04,31 ,4,,1,Blue,-1,1,1
110,Swordfish,,19 ,4.25,0,0.04,20 ,4,,1,Green,-1,50,1
111,Dark_Lance,,29 ,5.0,0,0.04,22 ,6,,1,Orange,-1,2,1
112,Cobalt_Naginata,,29 ,4.0,0,0.04,28 ,4.3,,1,Light Red,-1,90,1
113,Palladium_Pike,,32 ,4.5,0,0.04,27 ,4.4,,1,Light Red,-1,1,1
114,Mythril_Halberd,,35 ,5.0,0,0.04,26 ,4.5,,1,Light Red,-1,1,1
115,Orichalcum_Halberd,,36 ,5.5,0,0.04,25 ,4.5,,1,Light Red,-1,1,1
116,Adamantite_Glaive,,38 ,6.0,0,0.04,25 ,5,,1,Light Red,-1,1,1
117,Titanium_Trident,,40 ,6.2,0,0.04,23 ,5,,1,Light Red,-1,2,1
118,Gungnir,,42 ,6.4,0,0.04,22 ,5.6,,1,Pink,-1,4,1
119,Ghastly_Glaive,,45 ,7.0,0,0.04,27 ,42,Summons ghosts as it hits enemies,1,Pink,-1,1,1
120,Chlorophyte_Partisan,,49 ,6.2,0,0.04,23 ,5,Shoots a spore cloud,1,Lime,-1,3,1
121,Tonbogiri,,50 ,6.5,0,0.04,15 ,5.6,A legendary Japanese spear coated in venom,1,Pink,-1,40,-1
122,Mushroom_Spear,,60 ,6.2,0,0.04,40 ,5.5,,1,Lime,70,14,1
123,Obsidian_Swordfish,,70 ,6.5,0,0.24,20 ,4,,1,Lime,-1,1,1
124,North_Pole,,73 ,6.7,0,0.04,25 ,4.75,Shoots an icy spear that rains snowflakes,1,Lime,-1,9,1
125,Wooden_Boomerang,,8 ,5.0,0,0.04,16 ,6.5,,1,White,-1,10,1
126,Enchanted_Boomerang,,13 ,8.0,0,0.04,15 ,10,,1,Blue,-1,1,1
127,Fruitcake_Chakram,,14 ,8.0,0,0.04,15 ,11,,1,Blue,-1,1,1
128,Bloody_Machete,,15 ,5.0,0,0.04,15 ,15,,1,Green,-1,1,1
129,Shroomerang,,14 ,7.0,0,0.04,15 ,10.5,,1,Blue,-1,60,1
130,Ice_Boomerang,,16 ,8.5,0,0.06,15 ,11.5,,1,Blue,-1,1,1
131,Thorn_Chakram,,25 ,8.0,0,0.04,15 ,14,,1,Orange,-1,1,1
132,Combat_Wrench,,25 ,3.5,0,0.04,15 ,17,"'For fixing things, and breaking them'",1,Green,-1,50,1
133,Flamarang,,32 ,8.0,0,0.04,15 ,14,,1,Orange,-1,2,1
134,Flying_Knife,,40 ,4.5,0,0.04,15 ,17,Throws a controllable flying knife,1,Light Purple,-1,8,1
135,Sergeant_United_Shield,,80 ,0.0,0,0.04,36 ,20,'I can do this all day',1,Pink,35,7,1
136,Light_Disc,,57 ,8.0,0,0.04,15 ,13,Stacks up to 5,5,Pink,-1,6,1,True
137,Bananarang,,55 ,6.5,0,0.04,11 ,16,,10,Pink,-1,1,1,True
138,Possessed_Hatchet,,80 ,5.0,0,0.04,14 ,24,Chases after your enemy,1,Lime,-1,7,1,True
139,Paladin%27s_Hammer,,90 ,9.0,0,0.04,15 ,42,A powerful returning hammer,1,Yellow,-1,10,1
140,Chain_Knife,,12 ,3.5,0,0.04,20 ,12,,1,Blue,-1,25,1
141,Mace,,18 ,4.6,0,0.04,45 ,11,Can be upgraded with torches,1,Blue,-1,2,1
142,Flaming_Mace,,18 ,4.6,0,0.04,45 ,11,'May the fire light your way',1,Blue,-1,2,1
143,Ball_O%27_Hurt,,30 ,5.5,0,0.04,45 ,12,,1,Blue,-1,1,1
144,The_Meatball,,34 ,5.5,0,0.04,45 ,12,,1,Blue,-1,54,1
145,Blue_Moon,,54 ,6.0,0,0.04,45 ,12,,1,Green,-1,1,1
146,Sunfury,,64 ,6.75,0,0.11,45 ,12,,1,Orange,-1,2,1
147,Anchor,,70 ,8.0,0,0.04,20 ,20,,1,Orange,-1,1,1
148,KO_Cannon,,40 ,6.5,0,0.04,28 ,15,Shoots a boxing glove,1,Light Red,-1,3,1,True
149,Drippler_Crippler,,110 ,6.5,0,0.04,40 ,15.9,,1,Light Red,-1,4,1
150,Chain_Guillotines,,59 ,3.25,0,0.04,14 ,14,,1,Pink,-1,8,1,True
151,Dao_of_Pow,,100 ,6.0,0,0.04,45 ,15,Has a chance to confuse,1,Pink,-1,2,1
152,Flower_Pow,,130 ,6.5,0,0.04,40 ,15.9,Shoots razor sharp flower petals at nearby enemies,1,Lime,-1,6,1
153,Golem_Fist,,90 ,12.0,0,0.04,24 ,28,Punches with the force of a golem,1,Lime,-1,7,1,True
154,Flairon,,66 ,4.5,0,0.04,20 ,14,Spews homing bubbles,1,Yellow,-1,5,1,True
155,Terragrim,,17 ,3.0,0,0.04,25 ,15,Unleashes a dicing flurry,1,Green,-1,5,1
156,Arkhalis,,25 ,4.0,0,0.04,25 ,15,'I didn't get this off of a Schmoo',1,Cyan,-1,5,1
157,Arkhalis,,25 ,4.0,0,0.04,25 ,15,'I didn't get this off of a Schmoo',1,Cyan,-1,5,1
158,Jousting_Lance,,56 ,12.0,0,0.04,24 ,3.5,Build momentum to increase attack power,1,Light Red,6,1,1
159,Shadowflame_Knife,,38 ,5.75,0,0.07,12 ,13,Inflicts Shadowflame on hit,1,Pink,-1,2,1,True
160,Hallowed_Jousting_Lance,,78 ,13.0,0,0.04,24 ,3.5,Build momentum to increase attack power,1,Pink,-1,4,1
161,Sleepy_Octopod,,50 ,7.0,0,0.04,30 ,24,Charges power as it is swung to smash enemies,1,Pink,-1,1,1,True
162,Scourge_of_the_Corruptor,,70 ,5.0,0,0.04,20 ,28,A powerful javelin that unleashes tiny eaters,1,Yellow,-1,20,1,True
163,Shadow_Jousting_Lance,,108 ,14.0,0,0.04,24 ,3.5,Build momentum to increase attack power,1,Yellow,-1,10,1
164,Vampire_Knives,,29 ,2.75,0,0.04,16 ,15,Rapidly throw life stealing daggers,1,Yellow,-1,20,1,True
165,Sky_Dragon%27s_Fury,,140 ,5.0,0,0.04,30 ,24,Right click while holding for an alternate attack!,1,Yellow,-1,5,1,True
166,Daybreak,,150 ,5.0,0,0.04,16 ,20,'Rend your foes asunder with a spear of light!',1,Red,-1,10,1,True
167,Solar_Eruption,,105 ,2.0,0,0.04,20 ,24,'Strike with the fury of the sun',1,Red,-1,10,1,True
168,Zenith,,190 ,6.5,0,0.14,30 ,32,,1,Red,-1,20,1,True
169,Paper_Airplane,,4 ,2.0,1,0.04,17 ,5,,999,White,-1,10,1
170,White_Paper_Airplane,,4 ,2.0,1,0.04,17 ,5,,999,White,-1,10,1
171,Shuriken,,10 ,0.0,1,0.04,15 ,9,,999,White,15,3,99
172,Throwing_Knife,,12 ,2.0,1,0.04,15 ,10,,999,White,50,10,99
173,Poisoned_Knife,,14 ,2.4,1,0.08,15 ,12,,999,White,-1,12,99,True
174,Snowball,,8 ,5.75,0,0.0,19 ,7,,999,White,-1,-1,99
175,Ale_Tosser,Ale,20 ,7.0,0,0.04,40 ,6.5,,1,Blue,-1,1,1
176,Spiky_Ball,,15 ,1.0,1,0.04,15 ,5,,999,White,80,16,99
177,Bone,,20 ,2.3,1,0.04,12 ,8,,999,White,-1,10,99
178,Rotten_Egg,,13 ,6.5,1,0.04,19 ,9,Best used for pranking townsfolk,999,White,-1,-1,99
179,Star_Anise,,14 ,0.0,1,0.04,15 ,12,,999,White,-1,5,99
180,Molotov_Cocktail,,23 ,7.0,1,0.04,40 ,6.5,A small explosion that puts enemies on fire,99,Blue,-1,1,99
181,Frost_Daggerfish,,17 ,3.5,1,0.04,13 ,12.5,,999,Blue,-1,16,99
182,Javelin,,17 ,4.75,1,0.04,24 ,11.5,,999,White,-1,5,99
183,Bone_Javelin,,20 ,5.0,1,0.04,25 ,10,,999,Blue,-1,10,99,True
184,Bone_Throwing_Knife,,14 ,1.5,1,0.04,14 ,10,,999,Blue,-1,10,99,True
185,Grenade,,60 ,8.0,1,0.04,45 ,5.5,A small explosion that will not destroy tiles,99,White,75,15,99
186,Sticky_Grenade,,60 ,8.0,1,0.04,45 ,5.5,A small explosion that will not destroy tiles,99,White,-1,15,99
187,Bouncy_Grenade,,65 ,8.0,1,0.04,40 ,6.5,A small explosion that will not destroy tiles,99,White,-1,20,99
188,Beenade,,12 ,1.0,1,0.04,15 ,6,Explodes into a swarm of bees,999,White,-1,40,99
189,Happy_Grenade,,30 ,6.0,1,0.04,20 ,6,A small explosion that will not destroy tiles,99,Green,2,50,99
190,Wooden_Bow,Arrows,4 ,0.0,0,0.04,30 ,6.1,,1,White,-1,20,1
191,Boreal_Wood_Bow,Arrows,6 ,0.0,0,0.04,29 ,6.6,,1,White,-1,20,1
192,Copper_Bow,Arrows,6 ,0.0,0,0.04,29 ,6.6,,1,White,-1,70,1
193,Palm_Wood_Bow,Arrows,6 ,0.0,0,0.04,29 ,6.6,,1,White,-1,20,1
194,Rich_Mahogany_Bow,Arrows,6 ,0.0,0,0.04,29 ,6.6,,1,White,-1,20,1
195,Tin_Bow,Arrows,7 ,0.0,0,0.04,28 ,6.6,,1,White,-1,1,1
196,Ebonwood_Bow,Arrows,8 ,0.0,0,0.04,28 ,6.6,,1,White,-1,20,1
197,Iron_Bow,Arrows,8 ,0.0,0,0.04,28 ,6.6,,1,White,-1,2,1
198,Shadewood_Bow,Arrows,8 ,0.0,0,0.04,28 ,6.6,,1,White,-1,20,1
199,Lead_Bow,Arrows,9 ,0.0,0,0.04,27 ,6.6,,1,White,-1,4,1
200,Silver_Bow,Arrows,9 ,0.0,0,0.04,27 ,6.6,,1,White,-1,7,1
201,Tungsten_Bow,Arrows,10 ,0.0,0,0.04,26 ,6.6,,1,White,-1,10,1
202,Gold_Bow,Arrows,11 ,0.0,0,0.04,26 ,6.6,,1,White,-1,14,1
203,Platinum_Bow,Arrows,13 ,0.0,0,0.04,25 ,6.6,,1,White,-1,21,1
204,Demon_Bow,Arrows,14 ,1.0,0,0.04,25 ,6.7,,1,Blue,-1,36,1
205,Tendon_Bow,Arrows,19 ,1.0,0,0.04,30 ,6.7,,1,Blue,-1,36,1
206,Blood_Rain_Bow,Arrows,14 ,3.0,0,0.04,19 ,18,Rains blood from the sky,1,Orange,-1,1,1,True
207,The_Bee%27s_Knees,Arrows,23 ,3.0,0,0.04,24 ,8,Wooden arrows turn into a column of bees,1,Orange,-1,2,1
208,Hellwing_Bow,Arrows,22 ,5.5,0,0.04,13 ,6,Wooden arrows turn into flaming bats,1,Orange,-1,2,1,True
209,Molten_Fury,Arrows,31 ,2.0,0,0.04,22 ,8,Lights wooden arrows ablaze,1,Orange,-1,54,1
210,Sharanga,,36 ,2.0,0,0.04,-1,0.0,Transforms any suitable ammo into ,1,Pink,-1,1,-1
211,Pearlwood_Bow,Arrows,9 ,0.0,0,0.04,27 ,6.6,,1,White,-1,20,1
212,Marrow,Arrows,50 ,4.7,0,0.09,19 ,11,,1,Pink,-1,54,1
213,Ice_Bow,Arrows,39 ,4.5,0,0.04,16 ,20,Shoots frost arrows,1,Pink,-1,5,1,True
214,Daedalus_Stormbow,Arrows,38 ,2.25,0,0.04,19 ,12.5,Shoots arrows from the sky,1,Light Purple,-1,8,1,True
215,Shadowflame_Bow,Arrows,47 ,4.5,0,0.07,20 ,11,Shoots Shadowflame Arrows,1,Pink,-1,2,1,True
216,Phantom_Phoenix,Arrows,32 ,2.0,0,0.04,18 ,20,Harnesses the power of undying flames,1,Pink,-1,1,1,True
217,Pulse_Bow,Arrows,85 ,3.0,0,0.11,20 ,23.25,Shoots a charged arrow,1,Yellow,45,9,1,True
218,Aerial_Bane,Arrows,55 ,4.5,0,0.07,30 ,22,"Shoots splitting arrows, deals more damage to airborne enemies",1,Yellow,-1,5,1,True
219,Tsunami,Arrows,53 ,2.0,0,0.04,24 ,10,Shoots 5 arrows at a time,1,Yellow,-1,5,1,True
220,Eventide,Arrows,50 ,2.0,0,0.04,30 ,10,,1,Yellow,-1,5,1,True
221,Phantasm,Arrows,50 ,2.0,0,0.04,12 ,20,66% chance to not consume ammo,1,Red,-1,10,1,True
222,Cobalt_Repeater,Arrows,32 ,1.5,0,0.04,24 ,9,,1,Light Red,-1,1,1,True
223,Palladium_Repeater,Arrows,34 ,1.75,0,0.04,23 ,9.25,,1,Light Red,-1,1,1,True
224,Mythril_Repeater,Arrows,36 ,2.0,0,0.04,22 ,9.5,,1,Light Red,-1,1,1,True
225,Orichalcum_Repeater,Arrows,38 ,2.0,0,0.04,21 ,9.75,,1,Light Red,-1,2,1,True
226,Adamantite_Repeater,Arrows,40 ,2.5,0,0.04,19 ,10,,1,Light Red,-1,2,1,True
227,Titanium_Repeater,Arrows,41 ,2.5,0,0.04,18 ,10.5,,1,Light Red,-1,2,1,True
228,Hallowed_Repeater,Arrows,53 ,2.5,0,0.04,16 ,11,,1,Light Red,-1,4,1,True
229,Vulcan_Repeater,,56 ,2.5,0,0.04,17 ,15,Transforms any suitable ammo into ,1,Pink,-1,5,-1,True
230,Chlorophyte_Shotbow,Arrows,34 ,2.75,0,0.04,19 ,11.5,,1,Lime,-1,4,1,True
231,Stake_Launcher,Stake,75 ,6.5,0,0.14,12 ,9,,1,Yellow,-1,10,1,True
232,Red_Ryder,Bullets,20 ,3.75,0,0.04,38 ,8,'Don't shoot your eye out!',1,Blue,-1,2,1,True
233,Flintlock_Pistol,Bullets,10 ,0.0,0,0.04,16 ,5,,1,Blue,5,1,1
234,Musket,Bullets,31 ,5.25,0,0.11,36 ,9,,1,Blue,-1,1,1,True
235,The_Undertaker,Bullets,15 ,1.0,0,0.04,23 ,6,,1,Blue,-1,1,1
236,Sandgun,Sands,30 ,5.0,0,0.04,16 ,24,'This is a good idea!',1,Green,-1,20,1,True
237,Revolver,Bullets,20 ,4.0,0,0.09,22 ,16,,1,Green,10,2,1
238,Minishark,Bullets,6 ,0.0,0,0.04,8 ,7,33% chance to not consume ammo,1,Green,35,7,1,True
239,Boomstick,Bullets,14 ,5.75,0,0.04,40 ,5.35,Fires a spread of bullets,1,Green,-1,2,1
240,Quad-Barrel_Shotgun,Bullets,17 ,6.5,0,0.04,55 ,7,'When 2 or 3 just doesn't cut it',1,Orange,35,7,1
241,Handgun,Bullets,17 ,3.0,0,0.04,10 ,10,,1,Green,-1,1,1
242,Phoenix_Blaster,Bullets,24 ,2.0,0,0.04,11 ,13,,1,Orange,-1,3,1
243,Clockwork_Assault_Rifle,Bullets,17 ,0.0,0,0.04,12 ,7.75,Three round burst,1,Light Red,-1,3,1,True
244,Gatligator,Bullets,21 ,1.5,0,0.04,7 ,8,50% chance to not consume ammo,1,Light Red,35,7,1,True
245,Shotgun,Bullets,24 ,6.5,0,0.04,45 ,7,Fires a spread of bullets,1,Light Red,25,5,1
246,Onyx_Blaster,Bullets,24 ,6.5,0,0.04,48 ,14,,1,Light Red,-1,5,1
247,Coin_Gun,Coins,0 ,2.0,0,0.04,8 ,10,Uses coins for ammo,1,Light Purple,-1,6,1,True
248,Uzi,Bullets,30 ,3.5,0,0.04,9 ,13,"Shoots a powerful, high velocity bullet",1,Lime,-1,7,1,True
249,Megashark,Bullets,25 ,1.0,0,0.04,7 ,10,50% chance to not consume ammo,1,Pink,-1,7,1,True
250,Venus_Magnum,Bullets,50 ,5.5,0,0.04,8 ,13.5,"Shoots a powerful, high velocity bullet",1,Lime,-1,5,1
251,Tactical_Shotgun,Bullets,29 ,7.0,0,0.04,34 ,6,,1,Yellow,-1,8,1,True
252,Sniper_Rifle,Bullets,185 ,8.0,0,0.29,36 ,16,"Shoots a powerful, high velocity bullet",1,Yellow,-1,8,1
253,Candy_Corn_Rifle,Candy Corn,44 ,2.0,0,0.1,9 ,10,33% chance to not consume ammo,1,Yellow,-1,10,1,True
254,Chain_Gun,Bullets,31 ,1.75,0,0.04,4 ,14,50% chance to not consume ammo,1,Yellow,-1,9,1,True
255,Xenopopper,Bullets,45 ,3.0,0,0.04,21 ,24,,1,Yellow,-1,10,1,True
256,Vortex_Beater,Bullets,50 ,2.0,0,0.04,20 ,14 ,66% chance to not consume ammo,1,Red,-1,10,1,True
257,S.D.M.G.,Bullets,85 ,2.5,0,0.14,5 ,12,66% chance to not consume ammo,1,Red,-1,15,1,True
258,Grenade_Launcher,Rockets,60 ,4.0,0,0.04,20 ,10,,1,Yellow,-1,7,1,True
259,Proximity_Mine_Launcher,Rockets,80 ,4.0,0,0.04,50 ,12,Mines deal triple damage when armed,1,Yellow,35,7,1,True
260,Rocket_Launcher,Rockets,45 ,4.0,0,0.04,30 ,5,Does extra damage on a direct hit,1,Yellow,-1,8,1,True
261,Nail_Gun,Nail,85 ,0.0,0,0.04,15 ,10,,1,Yellow,-1,10,1,True
